Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Canada,CAN,1977,3.4124663,,,,650.9723,74.74582,488.442,271.95593,1046.0139
Canada,CAN,2005,29.22595,1.989885,0.048678055,4.4882703,1036.429,251.14131,875.9175,348.345,1245.6702
Canada,CAN,2007,28.701357,7.7265606,0.07351805,8.503444,1039.4941,251.88799,936.5643,352.7697,1290.1234
Canada,CAN,1998,28.68915,1.2351011,0.02988111,0.18333334,978.3788,201.44266,787.5727,349.21582,1094.4218
Canada,CAN,1999,28.548355,1.440951,0.039218888,0.47903222,1020.1636,207.08183,841.914,335.69028,1115.5518
Canada,CAN,2009,28.54487,8.93141,0.30440557,18.54822,1029.6378,239.75511,897.27527,280.0783,1214.6228
Canada,CAN,2006,28.53207,2.0079758,0.05975361,7.0368724,1004.1071,265.62433,870.735,337.43332,1256.4135
Canada,CAN,2000,28.465021,1.5481061,0.048556942,0.78064525,1054.9357,205.1344,892.2072,355.18835,1109.1815
Canada,CAN,2022,27.197453,23.494785,15.6783495,97.83473,1038.782,216.76048,1216.2826,107.23305,1185.2417
Canada,CAN,1997,26.074625,0,0.020543303,0.18333334,1031.0419,232.54778,801.05646,326.6361,1073.6844
Canada,CAN,2008,25.47049,9.288763,0.09835194,10.645945,1060.7625,257.12036,925.4387,335.23026,1245.2123
Canada,CAN,1996,24.032557,0,0.017430665,0.18333334,1048.5249,261.39783,785.5823,312.5264,1041.7711
Canada,CAN,1995,22.785524,0,0.011361055,0.1744625,987.811,275.7049,772.519,306.23358,1016.64703
Canada,CAN,1976,2.2568884,,,,628.91907,49.41816,465.67725,212.829,1037.8885
Canada,CAN,1994,18.300907,,0.006069611,0.1744625,969.4654,303.85306,747.5286,292.96918,968.858
Canada,CAN,1993,15.376847,,0.006069611,0.1744625,952.783,264.69534,722.08167,276.30972,948.57947
Canada,CAN,1992,14.253192,,0.006069611,0.1744625,931.9681,227.0639,680.55365,311.20917,936.4967
